cpt_code,group_en,description_en,description_el,price_eur
19288,MAMMO,"Placement of breast localization device(s) (eg clip, metallic pellet, wire/needle, radioactive seeds), percutaneous; each additional lesion, including magnetic resonance guidance (List separately in addition to code for primary procedure)","Τοποθέτηση συσκευής(ών) εντοπισμού του μαστού (π.χ. κλιπ, μεταλλικό σφαιρίδιο, σύρμα/βελόνα, ραδιενεργοί σπόροι), διαδερμική· κάθε πρόσθετη βλάβη, συμπεριλαμβανομένης της καθοδήγησης μαγνητικού συντονισμού (Κατάλογος ξεχωριστά εκτός από τον κωδικό για την κύρια επέμβαση)",55
19100,MAMMO,"Biopsy of breast; percutaneous, needle core, not using imaging guidance (separate procedure)","Βιοψία μαστού; διαδερμική, πυρήνας βελόνας, χωρίς χρήση απεικονιστικής καθοδήγησης (ξεχωριστή διαδικασία",100.5
19100-51,MAMMO,"Biopsy of breast; percutaneous, needle core, not using imaging guidance (separate procedure)","Βιοψία μαστού; διαδερμική, πυρήνας βελόνας, χωρίς χρήση απεικονιστικής καθοδήγησης (ξεχωριστή διαδικασία)",55
70544,MRA,"Magnetic resonance angiography, head; without contrast material(s)","Μαγνητική αγγειογραφία κεφαλής, χωρίς σκιαγραφικό μέσο(α)",164
70547,MRA,"Magnetic resonance angiography, neck; without contrast material(s)","Μαγνητική αγγειογραφία αυχένα, χωρίς σκιαγραφικό μέσο(α)",164
71555,MRA,"Magnetic resonance angiography, chest (excluding myocardium), with or without contrast material(s)","Μαγνητική αγγειογραφία θώρακα (εξαιρουμένου του μυοκαρδίου), με ή χωρίς σκιαγραφικό μέσο(α)",164
72198,MRA,"Magnetic resonance angiography, pelvis, with or without contrast material(s)","Μαγνητική αγγειογραφία πυέλου, με ή χωρίς σκιαγραφικό μέσο(α)",164
73225,MRA,"Magnetic resonance angiography, upper extremity, with or without contrast material(s)","Μαγνητική αγγειογραφία άνω άκρου, με ή χωρίς σκιαγραφικό μέσο(α)",164
73725,MRA,"Magnetic resonance angiography, lower extremity, with or without contrast material(s)","Μαγνητική αγγειογραφία κάτω άκρου, με ή χωρίς σκιαγραφικό μέσο(α)",164
74185,MRA,"Magnetic resonance angiography, abdomen, with or without contrast material(s)","Μαγνητική αγγειογραφία κοιλίας, με ή χωρίς σκιαγραφικό μέσο(α)",164
CY057,MRA,Magnetic resonance angiography with contrast agent,Σκιαγραφικό μέσο μαγνητικής αγγειογραφίας,30.029999999999998
CY138,MRA,"Magnetic resonance angiograpy abdomen/pelvis, with or without contrast","Μαγνητική αγγειογραφία κοιλίας/πυέλου, με ή χωρίς σκιαγραφικό μέσο(α)",262.5
CY139,MRA,"Magnetic resonance angiograpy abdomen/pelvis/lower extremity, with or without contrast","Μαγνητική αγγειογραφία κοιλίας/πυέλου/κάτω άκρων , με ή χωρίς σκιαγραφικό μέσο(α)",393.5
CY140,MRA,"Magnetic resonance angiograpy pelvis/lower extremity, with or without contrast","Μαγνητική αγγειογραφία πυέλου/κάτω άκρων , με ή χωρίς σκιαγραφικό μέσο(α)",262.5
70544-51,MRA,"Magnetic resonance angiography, head; without contrast material(s)","Μαγνητική αγγειογραφία κεφαλής, χωρίς σκιαγραφικό μέσο(α)",98.5
77021,MRI,"Magnetic resonance imaging guidance for needle placement (eg, for biopsy, needle aspiration, injection, or placement of localization device) radiological supervision and interpretation","Οδηγίες μαγνητικής τομογραφίας για τοποθέτηση βελόνας (π.χ. για βιοψία, αναρρόφηση με βελόνα, ένεση ή τοποθέτηση συσκευής εντοπισμού) ακτινολογική επίβλεψη και ερμηνεία",98.5
70336,MRI,"Magnetic resonance (eg, proton) imaging, temporomandibular joint(s)",Μαγνητική τομογραφία (π.χ. πρωτονίων) κροταφογναθικής άρθρωσης,164
70540,MRI,"Magnetic resonance (eg, proton) imaging, orbit, face, and/or neck; without contrast material(s)","Μαγνητική τομογραφία (π.χ. πρωτονίων) οφθαλμικών κόγχων, προσώπου ή/και αυχένα, χωρίς σκιαγραφικό μέσο(α)",109.5
70551,MRI,"Magnetic resonance (eg, proton) imaging, brain (including brain stem); without contrast material","Απεικόνιση μαγνητικής τομογραφίας (π.χ. πρωτονίων), εγκέφαλος (συμπεριλαμβανομένου εγκεφαλικού στελέχους), χωρίς σκιαγραφικό μέσο",109.5
70554,MRI,"Magnetic resonance imaging, brain, functional MRI; including test selection and administration of repetitive body part movement and/or visual stimulation, not requiring physician or psychologist administration","Μαγνητική τομογραφία εγκεφάλου, λειτουργική MRI, συμπεριλαμβανομένης της επιλογής δοκιμής και της διαχείρισης επαναλαμβανόμενης κίνησης ενός μέρους του σώματος και/ή οπτικής διέγερσης, χωρίς να απαιτείται ιατρική ή ψυχολογική υποστήριξη",244.5
CY068,MRI,"Magnetic resonance imaging, brain perfusion","Μαγνητική τομογραφία, αιμάτωση εγκεφάλου",229.5
71550,MRI,"Magnetic resonance (eg, proton) imaging, chest (eg, for evaluation of hilar and mediastinal lymphadenopathy); without contrast material(s)","Μαγνητική τομογραφία (π.χ. πρωτονίων) θώρακα (π.χ. για την αξιολόγηση της λεμφαδενοπάθειας μεσοθωρακίου και πυλών), χωρίς σκιαγραφικό μέσο(α)",164
72141,MRI,"Magnetic resonance (eg, proton) imaging, spinal canal and contents, cervical; without contrast material","Μαγνητική τομογραφία (π.χ. πρωτονίων), σπονδυλικός σωλήνας και περιεχόμενα, αυχένας, χωρίς σκιαγραφικό μέσο",109.5
72146,MRI,"Magnetic resonance (eg, proton) imaging, spinal canal and contents, thoracic; without contrast material","Μαγνητική τομογραφία (π.χ. πρωτονίων), σπονδυλικός σωλήνας και περιεχόμενα, θώρακας, χωρίς σκιαγραφικό μέσο",109.5
72148,MRI,"Magnetic resonance (eg, proton) imaging, spinal canal and contents, lumbar; without contrast material","Μαγνητική τομογραφία (π.χ. πρωτονίων), σπονδυλικός σωλήνας και περιεχόμενα, οσφύς, χωρίς σκιαγραφικό μέσο",109.5
72195,MRI,"Magnetic resonance (eg, proton) imaging, pelvis; without contrast material(s)","Μαγνητική τομογραφία (π.χ. πρωτονίων) πυέλου, χωρίς σκιαγραφικό μέσο(α)",109.5
73218,MRI,"Magnetic resonance (eg, proton) imaging, upper extremity, other than joint; without contrast material(s)","Μαγνητική τομογραφία (π.χ. πρωτονίων) άνω άκρων εκτός από αρθρώσεις, χωρίς σκιαγραφικό μέσο(α)",109.5
73221,MRI,"Magnetic resonance (eg, proton) imaging, any joint of upper extremity; without contrast material(s)","Μαγνητική τομογραφία (π.χ. πρωτονίων) οποιασδήποτε άρθρωσης του άνω άκρου, χωρίς σκιαγραφικό μέσο(α)",109.5
73718,MRI,"Magnetic resonance (eg, proton) imaging, lower extremity other than joint; without contrast material(s)","Μαγνητική τομογραφία (π.χ. πρωτονίων) κάτω άκρων εκτός από αρθρώσεις, χωρίς σκιαγραφικό μέσο(α)",109.5
73721,MRI,"Magnetic resonance (eg, proton) imaging, any joint of lower extremity; without contrast material","Μαγνητική τομογραφία (π.χ. πρωτονίων) οποιασδήποτε άρθρωσης του κάτω άκρου, χωρίς σκιαγραφικό μέσο(α)",109.5
74181,MRI,"Magnetic resonance (eg, proton) imaging, abdomen; without contrast material(s)","Μαγνητική τομογραφία (π.χ. πρωτονίων) κοιλίας, χωρίς σκιαγραφικό μέσο(α)",116
CY088,MRI,"Magnetic resonance imaging, liver, with gadoxetate disodium","Μαγνητική τομογραφία, ήπατος, με δινάτριο γαδοξετάτη",178.5
75557,MRI,Cardiac magnetic resonance imaging for morphology and function without contrast material,Μαγνητική τομογραφία καρδίας για απεικόνιση της μορφολογίας και της λειτουργίας χωρίς σκιαγραφικό μέσο,178.5
75565,MRI,Cardiac magnetic resonance imaging for velocity flow mapping,Μαγνητική τομογραφία καρδίας για απεικόνιση της χαρτογράφησης ταχύτητας ροής,178.5
76390,MRI,Magnetic resonance spectroscopy,Φασματοσκοπία μαγνητικού συντονισμού,178.5
76498,MRI,"Unlisted magnetic resonance procedure (eg, diagnostic, interventional)","Μη καταχωρισμένη διαδικασία μαγνητικού συντονισμού (π.χ. διαγνωστική, επεμβατική)",437
77047,MRI,"Magnetic resonance imaging, breast, without contrast material; bilateral","Μαγνητική τομογραφία μαστού, χωρίς σκιαγραφικό υλικό (άμφω)",164
CY069,MRI,"Magnetic resonance imaging, cervical and dorsal spine, or cervical and lumbar spine, or lumbar and dorsal spine; without contrast material","Απεικόνιση μαγνητικής τομογραφιας, αυχενική και ραχιαία σπονδυλική στήλη ή αυχενική και οσφυϊκή μοίρα της σπονδυλικής στήλης ή οσφυϊκή και ραχιαία σπονδυλική στήλη, χωρίς σκιαγραφικό υλικό",164
CY070,MRI,"Magnetic resonance imaging, whole spine; without contrast material","Μαγνητική τομογραφία, ολόκληρη η σπονδυλική στήλη. χωρίς σκιαγραφικό ",216
CY071,MRI,"Magnetic resonance imaging, brain tractography","Μαγνητική τομογραφία, τρακτογραφία εγκεφάλου",229.5
CY072,MRI,Cardiac magnetic resonance imaging of the coronary arteries,Καρδιακή μαγνητική τομογραφία των στεφανιαίων αρτηριών,178.5
CY073,MRI,Cardiac magnetic resonance imaging perfusion,Αιμάτωση καρδιακής μαγνητικής τομογραφίας,178.5
CY074,MRI,Cardiac magnetic resonance imaging for viability analysis,Καρδιακή μαγνητική τομογραφία για ανάλυση βιωσιμότητας,173
CY075,MRI,"Magnetic resonance imaging, enterography, without contrast","Μαγνητική τομογραφία, εντερογραφία, χωρίς σκιαγραφικό",164
CY076,MRI,"Magnetic resonance imaging, multiparametric prostate/rectum/pelvis soft tissue; without contrast material(s)","Απεικόνιση μαγνητικής τομογραφίας, πολυπαραμετρικός μαλακός ιστός προστάτη/ορθού/λεκάνης, χωρίς σκιαγραφικό(α) υλικό(α)",164
CY144,MRI,"Magnetic resonance imaging, Brain/Orbits without contrast","Απεικόνιση μαγνητικού συντονισμού, Brain/Orbits χωρίς σκιαγραφικό ",175
CY145,MRI,Magnetic resonance imaging Brain/Pituitary gland without contrast,Μαγνητική τομογραφία Εγκεφάλου/Υπόφυσης χωρίς σκιαγραφικό,175
CY146,MRI,Magnetic resonance imaging Brain/auditory canal without contrast,Μαγνητική τομογραφία  Εγκεφάλου/ Γερυφοπαρεγκεφαλιδικες δομές,175
CY147,MRI,Magnetic resonance imaging  Brain/spinal cord without contrast,Μαγνητική τομογραφία Εγκεφάλου/νωτιαίου μυελού χωρίς σκιαγραφικό,240.5
CY148,MRI,Magnetic resonance imaging  Abdomen/pelvis,Μαγνητική τομογραφία κοιλίας/λεκάνης,209.5
CY149,MRI,Magnetic resonance imaging  Abdomen/MRCP,Μαγνητική τομογραφία κοιλίας/MRCP,181.5
CY154,MRI,Magnetic resonance imaging gadoxetate disodium,Μαγνητική τομογραφία δινάτριο γαδοξετάτη,109.5
CY054,MRI,Magnetic resonance imaging with contrast agent,Σκιαγραφικό μέσο μαγνητικής τομογραφίας,79.5
CY128,MRI,T2-Star,T2-Star,123
73218-51,MRI,"Magnetic resonance (eg, proton) imaging, upper extremity, other than joint; without contrast material(s)","Μαγνητική τομογραφία (π.χ. πρωτονίων) άνω άκρων εκτός από αρθρώσεις, χωρίς σκιαγραφικό μέσο(α)",66
73221-51,MRI,"Magnetic resonance (eg, proton) imaging, any joint of upper extremity; without contrast material(s)","Μαγνητική τομογραφία (π.χ. πρωτονίων) οποιασδήποτε άρθρωσης του άνω άκρου, χωρίς σκιαγραφικό μέσο(α)",66
73718-51,MRI,"Magnetic resonance (eg, proton) imaging, lower extremity other than joint; without contrast material(s)","Μαγνητική τομογραφία (π.χ. πρωτονίων) κάτω άκρων εκτός από αρθρώσεις, χωρίς σκιαγραφικό μέσο(α)",66
73721-51,MRI,"Magnetic resonance (eg, proton) imaging, any joint of lower extremity; without contrast material","Μαγνητική τομογραφία (π.χ. πρωτονίων) οποιασδήποτε άρθρωσης του κάτω άκρου, χωρίς σκιαγραφικό μέσο(α)",66
CY150,MRI/MRA,Magnetic resonance angiograhy brain/ Magnetic resonance imaging Brain,Μαγνητική αγγειογραφία εγκεφάλου/ Μαγνητική τομογραφία εγκεφάλου,229.5
CY151,MRI/MRA,Magnetic resonance angiography Neck/Magnetic resonance imaging Brain,Αγγειογραφία μαγνητική τομογραφία Τραχήλου/Απεικόνιση μαγνητικής τομογραφίας Εγκεφάλου,229.5
CY152,MRI/MRA,Magnetic resonance angiography Neck/Magnetic resonance angiography Brain/Magnetic resonance imaging Brain,Μαγνητική τομογραφία αγγειογραφία τραχήλου/μαγνητική τομογραφία αγγειογραφία εγκεφάλου/μαγνητική τομογραφία εγκεφάλου,328
76512,ULTRASOUND,"Ophthalmic ultrasound, diagnostic; B-scan (with or without superimposed non-quantitative A- scan)","Οφθαλμική υπερηχογραφία, διαγνωστική, Β σάρωση (με ή χωρίς υπερκείμενη μη ποσοτική Α σάρωση)",27.5
76536,ULTRASOUND,"Ultrasound, soft tissues of head and neck (eg, thyroid, parathyroid, parotid), real time with image documentation","Υπερηχογράφημα μαλακών μορίων κεφαλής και τραχήλου (π.χ. θυρεοειδής, παραθυρεοειδής αδένας, παρωτίδα), σε πραγματικό χρόνο με τεκμηρίωση εικόνων",41
76604,ULTRASOUND,"Ultrasound, chest (includes mediastinum), real time with image documentation","Υπερηχογράφημα θώρακος (συμπεριλαμβανομένου του μεσοθωρακίου), σε πραγματικό χρόνο με τεκμηρίωση εικόνων",32
76700,ULTRASOUND,"Ultrasound, abdominal, real time with image documentation; complete","Υπερηχογράφημα κοιλίας, σε πραγματικό χρόνο με τεκμηρίωση εικόνας, πλήρες",36.5
CY129,ULTRASOUND,Ultrasound contrast agent,Σκιαγραφικός παράγοντας υπερήχων,36.5
76776,ULTRASOUND,"Ultrasound, transplanted kidney, real time and duplex Doppler with image documentation","Υπερηχογράφημα μεταμοσχευμένου νεφρού, σε πραγματικό χρόνο και αμφίδρομο Doppler με τεκμηρίωση εικόνων",36.5
76801,ULTRASOUND,"Ultrasound, pregnant uterus, real time with image documentation, fetal and maternal evaluation, first trimester (< 14 weeks 0 days), transabdominal approach; single or first gestation","Υπερηχογράφημα μήτρας εγκύου, σε πραγματικό χρόνο με τεκμηρίωση εικόνων, αξιολόγηση εμβρύου και μητέρας, πρώτο τρίμηνο (<14 εβδομάδες 0 ημέρες), διακοιλιακή προσέγγιση, μονήρης ή πρώτη κύηση",44
76811-RAD,ULTRASOUND,"Ultrasound, pregnant uterus, real time with image documentation, fetal and maternal evaluation plus detailed fetal anatomic examination, transabdominal approach; single or first gestation","Υπερηχογράφημα, μήτρα εγκύου, σε πραγματικό χρόνο με τεκμηρίωση εικόνας, αξιολόγηση εμβρύου και μητέρας συν λεπτομερής ανατομική εξέταση εμβρύου, διακοιλιακή προσέγγιση, μονή ή πρώτη κύηση",41
76813,ULTRASOUND,"Ultrasound, pregnant uterus, real time with image documentation, first trimester fetal nuchal translucency measurement, transabdominal or transvaginal approach; single or first gestation","Υπερηχογράφημα κυήσεως πρώτου τριμήνου, με μέτρηση της αυχενικής διαφάνειας, διακοιλιακό ή διακολπτικό, σε πραγματικό χρόνο με τεκμηρίωση εικόνας, μονήρης ή πρώτη
κύηση",35
76815,ULTRASOUND,"Ultrasound, pregnant uterus, real time with image documentation, limited (eg, fetal heart beat, placental location, fetal position and/or qualitative amniotic fluid volume), 1 or more fetuses","Υπερηχογράφημα μήτρας εγκύου, σε πραγματικό χρόνο με τεκμηρίωση εικόνων, περιορισμένο (π.χ. εμβρϋικός καρδιακός ρυθμός, θέση πλακούντα, θέση εμβρύου, και/ή ποιοτικός όγκος αμνιακού υγρού), 1 ή περισσότερα έμβρυα",25
76818,ULTRASOUND,Fetal biophysical profile; with non-stress testing,"Βιοφυσικό προφίλ εμβρύου, με καρδιοτοκογράφημα ηρεμίας",60.5
76820,ULTRASOUND,"Doppler velocimetry, fetal; umbilical artery","Ταχυμετρία Doppler, εμβρυϊκή; ομφαλική αρτηρία",35
76821,ULTRASOUND,"Doppler velocimetry, fetal; middle cerebral artery","Ταχυμετρία Doppler, εμβρυϊκή; μέση εγκεφαλική αρτηρία",35
76830-RAD,ULTRASOUND,"Ultrasound, transvaginal",Διακολπικό υπερηχογράφημα,29
76856-RAD,ULTRASOUND,"Ultrasound, pelvic (nonobstetric), real time with image documentation; complete","Υπερηχογράφημα πυέλου, (μη μαιευτικό), σε πραγματικό χρόνο με τεκμηρίωση εικόνων,
πλήρες",27.5
76870,ULTRASOUND,"Ultrasound, scrotum and contents",Υπερηχογράφημα οσχέου και περιεχομένων,36.5
76872,ULTRASOUND,"Ultrasound, transrectal","Υπερηχογράφημα, διορθικό",41
76881,ULTRASOUND,"Ultrasound, complete joint (ie, joint space and peri-articular soft-tissue structures), real-time with image documentation","Υπερηχογράφημα, πλήρης άρθρωση (δηλαδή, χώρος άρθρωσης και περιαρθρικές δομές μαλακών ιστών), σε πραγματικό χρόνο με τεκμηρίωση εικόνας",35
76882,ULTRASOUND,"Ultrasound, limited, joint or other nonvascular extremity structure(s) (eg, joint space, peri- articular tendon[s], muscle[s], nerve[s], other soft tissue structure[s], or soft tissue mass[es]),
real-time with image documentation","Υπερηχογράφημα, περιορισμένο, άρθρωσης ή άλλης μη αγγειακής δομής άκρου(ων), [π.χ. περιοχή της άρθρωσης, περιαρθρικός(οί) τένοντας(ες), μυς(ες), νεύρο(α), άλλη(ες) δομή(ές)
μαλακών μορίων], σε πραγματικό χρόνο με τεκμηρίωση εικόνας",33
76885-RAD,ULTRASOUND,"Ultrasound, infant hips, real time with imaging documentation; dynamic","Υπερηχογράφημα ισχίων παιδιού, σε πραγματικό χρόνο με τεκμηρίωση εικόνων, δυναμικό (απαιτεί χειρισμό από ιατρό ή άλλο πιστοποιημένο επαγγελματία υγείας)",33
76942,ULTRASOUND,"Ultrasonic guidance for needle placement (eg, biopsy, aspiration, injection, localization device), imaging supervision and interpretation","Υπερηχογραφική καθοδήγηση για τοποθέτηση βελόνης (π.χ. βιοψία, αναρρόφηση, έγχυση, συσκευή εντοπισμού), επίβλεψη απεικόνισης και ερμηνεία",33
93880,ULTRASOUND,Duplex scan of extracranial arteries; complete bilateral study,"Σάρωση duplex εξωκρανιακών αρτηριών, πλήρης αμφοτερόπλευρη μελέτη",66.5
93925,ULTRASOUND,Duplex scan of lower extremity arteries or arterial bypass grafts; complete bilateral study,"Αμφίδρομη σάρωση αρτηριών κάτω άκρων ή αρτηριακών μοσχευμάτων αορτοστεφανιαίας παράκαμψης, πλήρης αμφίδρομη μελέτη",66
93926,ULTRASOUND,Duplex scan of lower extremity arteries or arterial bypass grafts; unilateral or limited study,"Αμφίδρομη σάρωση αρτηριών κάτω άκρων ή αρτηριακών μοσχευμάτων αορτοστεφανιαίας παράκαμψης, ετερόπλευρη ή περιορισμένη μελέτη",41
93930,ULTRASOUND,Duplex scan of upper extremity arteries or arterial bypass grafts; complete bilateral study,"Αμφίδρομη σάρωση αρτηριών άνω άκρων ή αρτηριακών μοσχευμάτων αορτοστεφανιαίας παράκαμψης, πλήρης αμφίδρομη μελέτη",66
93931,ULTRASOUND,Duplex scan of upper extremity arteries or arterial bypass grafts; unilateral or limited study,"Αμφίδρομη σάρωση αρτηριών άνω άκρων ή αρτηριακών μοσχευμάτων αορτοστεφανιαίας παράκαμψης, ετερόπλευρη ή περιορισμένη μελέτη",49.5
93970,ULTRASOUND,Duplex scan of extremity veins including responses to compression and other maneuvers; complete bilateral study,"Αμφίδρομη σάρωση των φλεβών των άκρων συμπεριλαμβανομένων των αποκρίσεων σε συμπίεση και άλλες μαλάξεις, πλήρης αμφοτερόπλευρη μελέτη",66
93971,ULTRASOUND,Duplex scan of extremity veins including responses to compression and other maneuvers; unilateral or limited study,"Αμφίδρομη σάρωση των φλεβών των άκρων συμπεριλαμβανομένων των αποκρίσεων σε συμπίεση και άλλες μαλάξεις, ετερόπλευρη ή περιορισμένη μελέτη",49.5
93975,ULTRASOUND,"Duplex scan of arterial inflow and venous outflow of abdominal, pelvic, scrotal contents and/or retroperitoneal organs; complete study","Σάρωση διπλής όψης της αρτηριακής εισροής και φλεβικής εκροής κοιλιακών, πυελικών, οσφϋικών περιεχομένων και/ή οπισθοπεριτοναϊκών οργάνων, πλήρης μελέτη",49.5
93990,ULTRASOUND,"Duplex scan of hemodialysis access (including arterial inflow, body of access and venous outflow)","Αμφίδρομη σάρωση για πρόσβαση αιμοκάθαρασης (συμπεριλαμβανομένης της αρτηριακής εισροής, του σώματος πρόσβασης και της φλεβικής εκροής)",55
76981,ULTRASOUND,"Ultrasound, elastography; parenchyma (eg, organ)","Υπερηχογράφημα, ελαστογραφία; παρέγχυμα (π.χ. όργανο)",25.5
76510,ULTRASOUND,"Ophthalmic ultrasound, diagnostic; B-scan and quantitative A-scan performed during the same patient encounter","Οφθαλμικό υπερηχογράφημα, διαγνωστικό B-scan and quantitative A-scan performed during the same patient encounter",35
76770,ULTRASOUND,"Ultrasound, retroperitoneal (eg, renal, aorta, nodes), real time with image documentation; complete","Υπερηχογράφημα οπισθοπεριτοναϊκού χώρου (π.χ. νεφρά, αορτή, λεμφαδένες), σε πραγματικό χρόνο με τεκμηρίωση εικόνων, πλήρες",36.5
76805,ULTRASOUND,"Ultrasound, pregnant uterus, real time with image documentation, fetal and maternal evaluation, after first trimester (> or = 14 weeks 0 days), transabdominal approach; single or
first gestation","Υπερηχογράφημα κυήσεως μετά το πρώτο τρίμηνο (> ή = 14 εβδομάδες 0 ημέρες), με αξιολόγηση μητέρας και εμβρύου, διακοιλιακό, σε πραγματικό χρόνο με τεκμηρίωση
εικόνας, μονήρης ή πρώτη κύηση",55
76810,ULTRASOUND,"Ultrasound, pregnant uterus, real time with image documentation, fetal and maternal evaluation, after first trimester (> or = 14 weeks 0 days), transabdominal approach; each additional gestation (List separately in addition to code for primary procedure)","Υπερηχογράφημα, μήτρα εγκύου, σε πραγματικό χρόνο με τεκμηρίωση εικόνας, αξιολόγηση εμβρύου και μητέρας, μετά το πρώτο τρίμηνο (> ή = 14 εβδομάδες 0 ημέρες), διακοιλιακή προσέγγιση. κάθε επιπλέον κύηση (Κατάλογος ξεχωριστά εκτός από τον κωδικό για την κύρια διαδικασία)",33
76814,ULTRASOUND,"Ultrasound, pregnant uterus, real time with image documentation, first trimester fetal nuchal translucency measurement, transabdominal or transvaginal approach; each additional gestation (List separately in addition to code for primary procedure)","Υπερηχογράφημα, μήτρα εγκύου, σε πραγματικό χρόνο με τεκμηρίωση εικόνας, μέτρηση αυχενικής διαφάνειας εμβρύου πρώτου τριμήνου, διακοιλιακή ή διακολπική προσέγγιση. κάθε επιπλέον κύηση (Κατάλογος ξεχωριστά εκτός από τον κωδικό για την κύρια διαδικασία)",29
93980,ULTRASOUND,Duplex scan of arterial inflow and venous outflow of penile vessels; complete study,Διπλή σάρωση αρτηριακής εισροής και φλεβικής εκροής αγγείων του πέους. πλήρης μελέτη,55
76641-50,ULTRASOUND,"Ultrasound, breast, unilateral, real time with image documentation, including axilla when performed; complete","Υπερηχογράφημα, μαστού, μονόπλευρη, σε πραγματικό χρόνο με τεκμηρίωση εικόνας, συμπεριλαμβανομένης της μασχάλης όταν εκτελείται, πλήρης""",43
CY242,ULTRASOUND,"Ultrasound, axilla, bilateral, real time with image documentation; complete","Υπέρηχος, μασχαλιαία, αμφίπλευρη, σε πραγματικό χρόνο με τεκμηρίωση εικόνας. πλήρης",35
CY245,ULTRASOUND,"Ultrasound, breast, bilateral, real time with image documentation, including axilla when performed; complete within the context of Breast Screening Programme of the Ministry of Health","Υπερηχογράφημα, μαστού, αμφοτερόπλευρο, σε πραγματικό χρόνο με τεκμηρίωση εικόνας, συμπεριλαμβανομένης της μασχάλης όταν εκτελείται· ολοκληρώθηκε στο πλαίσιο του Προγράμματος Ελέγχου Μαστού του Υπουργείου Υγείας»",43
70110,XRAY,"Radiologic examination, mandible; complete, minimum of 4 views","Ακτινολογική εξέταση, κάτω γνάθος; πλήρης, τουλάχιστον 4 προβολές",32
70150,XRAY,"Radiologic examination, facial bones; complete, minimum of 3 views","Ακτινολογική εξέταση, οστά προσώπου; πλήρης, τουλάχιστον 3 προβολές",32
70160,XRAY,"Radiologic examination, nasal bones, complete, minimum of 3 views","Ακτινολογικός έλεγχος, ρινικά οστά, πλήρης, τουλάχιστον 3 προβολές",27.5
70210,XRAY,"Radiologic examination, sinuses, paranasal, less than 3 views","Ακτινογραφία παραρρινίων κόλπων, λιγότερες από 3 προβολές",33
70250,XRAY,"Radiologic examination, skull; less than 4 views","Ακτινογραφία κρανίου, λιγότερες από 4 προβολές",32
70330,XRAY,"Radiologic examination, temporomandibular joint, open and closed mouth; bilateral","Ακτινολογική εξέταση, κροταφογναθική άρθρωση, ανοιχτό και κλειστό στόμα. Άμφω",27.5
71045,XRAY,"Radiologic examination, chest; single view","Ακτινογραφία θώρακος, μία προβολή",23
71046,XRAY,"Radiologic examination, chest; 2 views","Ακτινογραφία θώρακος, 2 προβολές",27.5
70328,XRAY,"Radiologic examination, temporomandibular joint, open and closed mouth; unilateral","Ακτινολογική εξέταση, κροταφογναθική άρθρωση, ανοιχτό και κλειστό στόμα. μονόπλευρη",27.5
71100,XRAY,"Radiologic examination, ribs, unilateral; 2 views","Ακτινολογική εξέταση, πλευρά, μονόπλευρη. 2 προβολές",27.5
71120,XRAY,"Radiologic examination; sternum, minimum of 2 views","Ακτινολογική εξέταση; στέρνο, τουλάχιστον 2 προβολές",23
72040,XRAY,"Radiologic examination, spine, cervical; 2 or 3 views","Ακτινογραφία αυχενικής μοίρας σπονδυλικής στήλης, 2 ή 3 προβολές",27.5
72050,XRAY,"Radiologic examination, spine, cervical; 4 or 5 views","Ακτινογραφία αυχενικής μοίρας σπονδυλικής στήλης, 4 ή 5 προβολές",36.5
72070,XRAY,"Radiologic examination, spine; thoracic, 2 views","Ακτινογραφία θωρακικής μοίρας σπονδυλικής στήλης, 2 προβολές",27.5
72072,XRAY,"Radiologic examination, spine; thoracic, 3 views","Ακτινογραφία θωρακικής μοίρας σπονδυλικής στήλης, 3 προβολές",36.5
72080,XRAY,"Radiologic examination, spine; thoracolumbar junction, minimum of 2 views","Ακτινογραφία θωρακο-οσφυϊκής μοίρας σπονδυλικής στήλης, τουλάχιστον 2 προβολές",36.5
72081,XRAY,"Radiologic examination, spine, entire thoracic and lumbar, including skull, cervical and sacral spine if performed (eg, scoliosis evaluation); one view","Ακτινολογική εξέταση, σπονδυλικής στήλης, ολόκληρου του θωρακικού και οσφυϊκού τμήματος, συμπεριλαμβανομένου του κρανίου, της αυχενικής και της ιερής μοίρας της σπονδυλικής στήλης εάν πραγματοποιηθεί (π.χ. αξιολόγηση σκολίωσης), μία προβολή",45.5
72082,XRAY,"Radiologic examination, spine, entire thoracic and lumbar, including skull, cervical and sacral
spine if performed (eg, scoliosis evaluation); 2 or 3 views","Ακτινολογική εξέταση, σπονδυλική στήλη, ολόκληρο το θωρακικό και οσφυϊκό τμήμα, συμπεριλαμβανομένου του κρανίου, της αυχενικής και της ιερής μοίρας της σπονδυλικής στήλης, εάν πραγματοποιηθεί (π.χ. αξιολόγηση σκολίωσης), 2 ή 3 προβολές",64
72100,XRAY,"Radiologic examination, spine, lumbosacral; 2 or 3 views","Ακτινογραφία οσφυοϊεράς μοίρας σπονδυλικής στήλης, 2 ή 3 προβολές",35
72110,XRAY,"Radiologic examination, spine, lumbosacral; minimum of 4 views","Ακτινογραφία οσφυοϊεράς μοίρας σπονδυλικής στήλης, τουλάχιστον 4 προβολές",35
72170,XRAY,"Radiologic examination, pelvis; 1 or 2 views","Ακτινογραφία πυέλου, 1 ή 2 προβολές",25
72200,XRAY,"Radiologic examination, sacroiliac joints; less than 3 views","Ακτινολογική εξέταση, ιερολαγόνιες αρθρώσεις; λιγότερες από 3 προβολές",27.5
