Key,Date,Description,Amount
PA-0610,23/03/2026,Item A610,4629.18
PA-0611,24/03/2026,Item A611,6211.88
PA-0612,25/03/2026,Item A612,5344.42
PA-0613,26/03/2026,Item A613,6671.56
PA-0614,27/03/2026,Item A614,4736.09
PA-0615,28/03/2026,Item A615,1658.12
PA-0616,01/03/2026,Item A616,1417.7
PA-0617,02/03/2026,Item A617,8906.68
PA-0618,03/03/2026,Item A618,1278.54
PA-0619,04/03/2026,Item A619,6297.98
PA-0620,05/03/2026,Item A620,4180.49
PA-0621,06/03/2026,Item A621,7336.14
PA-0622,07/03/2026,Item A622,6069.46
PA-0623,08/03/2026,Item A623,569.36
PA-0624,09/03/2026,Item A624,3304.42
PA-0625,10/03/2026,Item A625,1137.56
PA-0626,11/03/2026,Item A626,4869.15
PA-0627,12/03/2026,Item A627,4781.17
PA-0628,13/03/2026,Item A628,8024.94
PA-0629,14/03/2026,Item A629,4116.04
PA-0630,15/03/2026,Item A630,2380.02
PA-0631,16/03/2026,Item A631,4656.05
PA-0632,17/03/2026,Item A632,160.84
PA-0633,18/03/2026,Item A633,5840.33
PA-0634,19/03/2026,Item A634,7128.41
PA-0635,20/03/2026,Item A635,2115.31
PA-0636,21/03/2026,Item A636,7463.48
PA-0637,22/03/2026,Item A637,2015.39
PA-0638,23/03/2026,Item A638,7367.82
PA-0639,24/03/2026,Item A639,8165.24
PA-0640,25/03/2026,Item A640,2532.75
PA-0641,26/03/2026,Item A641,2369.07
PA-0642,27/03/2026,Item A642,6159.66
PA-0643,28/03/2026,Item A643,8605.47
PA-0644,01/03/2026,Item A644,692.15
PA-0645,02/03/2026,Item A645,296.86
PA-0646,03/03/2026,Item A646,6129.08
PA-0647,04/03/2026,Item A647,298.16
PA-0648,05/03/2026,Item A648,505.97
PA-0649,06/03/2026,Item A649,5711.38
PA-0650,07/03/2026,Item A650,255.83
PA-0651,08/03/2026,Item A651,225.68
PA-0652,09/03/2026,Item A652,5017.48
PA-0653,10/03/2026,Item A653,2841.65
PA-0654,11/03/2026,Item A654,1063.53
PA-0655,12/03/2026,Item A655,4271.13
PA-0656,13/03/2026,Item A656,8932.03
PA-0657,14/03/2026,Item A657,6606.09
PA-0658,15/03/2026,Item A658,4195.94
PA-0659,16/03/2026,Item A659,7459.65
PA-0660,17/03/2026,Item A660,7206.73
PA-0661,18/03/2026,Item A661,4261.3
PA-0662,19/03/2026,Item A662,2318.76
PA-0663,20/03/2026,Item A663,6699.91
PA-0664,21/03/2026,Item A664,4428.39
PA-0665,22/03/2026,Item A665,1041.45
PA-0666,23/03/2026,Item A666,8841.17
PA-0667,24/03/2026,Item A667,1638.36
PA-0668,25/03/2026,Item A668,1142.32
PA-0669,26/03/2026,Item A669,732.04
PA-0670,27/03/2026,Item A670,5448.83
PA-0671,28/03/2026,Item A671,4087.49
PA-0672,01/03/2026,Item A672,2099.31
PA-0673,02/03/2026,Item A673,7594.27
PA-0674,03/03/2026,Item A674,2999.02
PA-0675,04/03/2026,Item A675,4934.49
PA-0676,05/03/2026,Item A676,8012.46
PA-0677,06/03/2026,Item A677,8252.87
PA-0678,07/03/2026,Item A678,8749.75
PA-0679,08/03/2026,Item A679,1236.15
PA-0680,09/03/2026,Item A680,6412.78
PA-0681,10/03/2026,Item A681,2502.73
PA-0682,11/03/2026,Item A682,3948.93
PA-0683,12/03/2026,Item A683,241.7
PA-0684,13/03/2026,Item A684,6389.81
PA-0685,14/03/2026,Item A685,4379.36
PA-0686,15/03/2026,Item A686,8132.72
PA-0687,16/03/2026,Item A687,6841.83
PA-0688,17/03/2026,Item A688,2345.59
PA-0689,18/03/2026,Item A689,5346.41
PA-0690,19/03/2026,Item A690,3933.25
PA-0691,20/03/2026,Item A691,8283.9
PA-0692,21/03/2026,Item A692,4150.01
PA-0693,22/03/2026,Item A693,907.92
PA-0694,23/03/2026,Item A694,3544.66
PA-0695,24/03/2026,Item A695,1801.16
PA-0696,25/03/2026,Item A696,8203.88
PA-0697,26/03/2026,Item A697,8733.24
PA-0698,27/03/2026,Item A698,3131.51
PA-0699,28/03/2026,Item A699,8570.85
PA-0700,01/03/2026,Item A700,4341.42
PA-0701,02/03/2026,Item A701,7855.1
PA-0702,03/03/2026,Item A702,1589.73
PA-0703,04/03/2026,Item A703,3070.91
PA-0704,05/03/2026,Item A704,8687.8
PA-0705,06/03/2026,Item A705,1663.98
PA-0706,07/03/2026,Item A706,3238.82
PA-0707,08/03/2026,Item A707,1010.01
PA-0708,09/03/2026,Item A708,6943.1
PA-0709,10/03/2026,Item A709,4413.29
PA-0710,11/03/2026,Item A710,5527.91
PA-0711,12/03/2026,Item A711,6440.28
PA-0712,13/03/2026,Item A712,1250.61
PA-0713,14/03/2026,Item A713,6763.98
PA-0714,15/03/2026,Item A714,7948.67
PA-0715,16/03/2026,Item A715,1497.15
PA-0716,17/03/2026,Item A716,652.87
PA-0717,18/03/2026,Item A717,962.33
PA-0718,19/03/2026,Item A718,3709.33
PA-0719,20/03/2026,Item A719,4754.59
PA-0720,21/03/2026,Item A720,5137.61
PA-0721,22/03/2026,Item A721,6941.38
PA-0722,23/03/2026,Item A722,2906.39
PA-0723,24/03/2026,Item A723,8232.51
PA-0724,25/03/2026,Item A724,501.32
PA-0725,26/03/2026,Item A725,1963.68
PA-0726,27/03/2026,Item A726,623.81
PA-0727,28/03/2026,Item A727,4601.8
PA-0728,01/03/2026,Item A728,3381.14
PA-0729,02/03/2026,Item A729,5552.34
PA-0730,03/03/2026,Item A730,62.89
PA-0731,04/03/2026,Item A731,4024.89
PA-0732,05/03/2026,Item A732,31.44
PA-0733,06/03/2026,Item A733,2636.08
PA-0734,07/03/2026,Item A734,3533.83
PA-0735,08/03/2026,Item A735,6953.14
PA-0736,09/03/2026,Item A736,2992.54
PA-0737,10/03/2026,Item A737,7819.34
PA-0738,11/03/2026,Item A738,4614.9
PA-0739,12/03/2026,Item A739,6580.79
PA-0740,13/03/2026,Item A740,2916.22
PA-0741,14/03/2026,Item A741,1029.69
PA-0742,15/03/2026,Item A742,7235.99
PA-0743,16/03/2026,Item A743,1842.45
PA-0744,17/03/2026,Item A744,3654.26
PA-0745,18/03/2026,Item A745,3219.76
PA-0746,19/03/2026,Item A746,195.05
PA-0747,20/03/2026,Item A747,636.67
PA-0748,21/03/2026,Item A748,4449.89
PA-0749,22/03/2026,Item A749,8963.5
PA-0750,23/03/2026,Item A750,636.87
PA-0751,24/03/2026,Item A751,711.17
PA-0752,25/03/2026,Item A752,865.95
PA-0753,26/03/2026,Item A753,7997.28
PA-0754,27/03/2026,Item A754,7053.92
PA-0755,28/03/2026,Item A755,6565.8
PA-0756,01/03/2026,Item A756,3574.45
PA-0757,02/03/2026,Item A757,6231.41
PA-0758,03/03/2026,Item A758,7446.01
PA-0759,04/03/2026,Item A759,1341.88
PA-0760,05/03/2026,Item A760,6819.28
PA-0761,06/03/2026,Item A761,7402.67
PA-0762,07/03/2026,Item A762,1420.99
PA-0763,08/03/2026,Item A763,7771.6
PA-0764,09/03/2026,Item A764,507.43
PA-0765,10/03/2026,Item A765,6261.05
PA-0766,11/03/2026,Item A766,7222.5
PA-0767,12/03/2026,Item A767,8239.64
PA-0768,13/03/2026,Item A768,2665.63
PA-0769,14/03/2026,Item A769,7182.26
PA-0770,15/03/2026,Item A770,6845.5
PA-0771,16/03/2026,Item A771,3656.11
PA-0772,17/03/2026,Item A772,8625.27
PA-0773,18/03/2026,Item A773,8308.05
PA-0774,19/03/2026,Item A774,5824.15
PA-0775,20/03/2026,Item A775,4494.88
PA-0776,21/03/2026,Item A776,5147.1
PA-0777,22/03/2026,Item A777,3619.32
PA-0778,23/03/2026,Item A778,5802.01
PA-0779,24/03/2026,Item A779,5403.42
PA-0780,25/03/2026,Item A780,7304.37
PA-0781,26/03/2026,Item A781,2599.48
PA-0782,27/03/2026,Item A782,969.5
PA-0783,28/03/2026,Item A783,7638.55
PA-0784,01/03/2026,Item A784,2578.05
PA-0785,02/03/2026,Item A785,1588.71
PA-0786,03/03/2026,Item A786,2165.9
PA-0787,04/03/2026,Item A787,4706.32
PA-0788,05/03/2026,Item A788,7742.52
PA-0789,06/03/2026,Item A789,6306.89
PA-0790,07/03/2026,Item A790,4541.5
PA-0791,08/03/2026,Item A791,1654.37
PA-0792,09/03/2026,Item A792,124.7
PA-0793,10/03/2026,Item A793,3882.34
PA-0794,11/03/2026,Item A794,7202.15
PA-0795,12/03/2026,Item A795,878.04
PA-0796,13/03/2026,Item A796,8259.24
PA-0797,14/03/2026,Item A797,1075.07
PA-0798,15/03/2026,Item A798,1872.27
PA-0799,16/03/2026,Item A799,5924.52
PA-0800,17/03/2026,Item A800,3853.25
PA-0801,18/03/2026,Item A801,183.73
PA-0802,19/03/2026,Item A802,3492.25
PA-0803,20/03/2026,Item A803,8796.54
PA-0804,21/03/2026,Item A804,237.18
PA-0805,22/03/2026,Item A805,6668.04
PA-0806,23/03/2026,Item A806,868.9
PA-0807,24/03/2026,Item A807,3134.68
PA-0808,25/03/2026,Item A808,8348.87
PA-0809,26/03/2026,Item A809,6832.3
PA-0810,27/03/2026,Item A810,5044.21
PA-0811,28/03/2026,Item A811,8263.33
PA-0812,01/03/2026,Item A812,4444.86
PA-0813,02/03/2026,Item A813,296.31
PA-0814,03/03/2026,Item A814,4227.77
PA-0815,04/03/2026,Item A815,6859.9
PA-0816,05/03/2026,Item A816,7062.89
PA-0817,06/03/2026,Item A817,8687.33
PA-0818,07/03/2026,Item A818,5448.08
PA-0819,08/03/2026,Item A819,8569.48
PA-0820,09/03/2026,Item A820,8713.27
PA-0821,10/03/2026,Item A821,1003.32
PA-0822,11/03/2026,Item A822,7088.31
PA-0823,12/03/2026,Item A823,2841.75
PA-0824,13/03/2026,Item A824,8518.23
PA-0825,14/03/2026,Item A825,8708.56
PA-0826,15/03/2026,Item A826,3353.63
PA-0827,16/03/2026,Item A827,2497.62
PA-0828,17/03/2026,Item A828,179.01
PA-0829,18/03/2026,Item A829,6861.09
PA-0830,19/03/2026,Item A830,5411.23
PA-0831,20/03/2026,Item A831,8424.22
PA-0832,21/03/2026,Item A832,661.37
PA-0833,22/03/2026,Item A833,3825.53
PA-0834,23/03/2026,Item A834,1488.4
PA-0835,24/03/2026,Item A835,4440.73
PA-0836,25/03/2026,Item A836,7963.56
PA-0837,26/03/2026,Item A837,8214.47
PA-0838,27/03/2026,Item A838,7312.82
PA-0839,28/03/2026,Item A839,7881.68
PA-0840,01/03/2026,Item A840,4986.32
PA-0841,02/03/2026,Item A841,5348.26
PA-0842,03/03/2026,Item A842,1607.53
PA-0843,04/03/2026,Item A843,8104.13
PA-0844,05/03/2026,Item A844,8470.85
PA-0845,06/03/2026,Item A845,7433.03
PA-0846,07/03/2026,Item A846,4960.36
PA-0847,08/03/2026,Item A847,8528.62
PA-0848,09/03/2026,Item A848,7459.25
PA-0849,10/03/2026,Item A849,6029.9
PA-0850,11/03/2026,Item A850,8904.42
PA-0851,12/03/2026,Item A851,6870.34
PA-0852,13/03/2026,Item A852,606.77
PA-0853,14/03/2026,Item A853,7251.96
PA-0854,15/03/2026,Item A854,4635.54
PA-0855,16/03/2026,Item A855,947.44
PA-0856,17/03/2026,Item A856,3076.89
PA-0857,18/03/2026,Item A857,7945.08
PA-0858,19/03/2026,Item A858,5999.37
PA-0859,20/03/2026,Item A859,6418.6
PA-0860,21/03/2026,Item A860,3827.71
PA-0861,22/03/2026,Item A861,2126.31
PA-0862,23/03/2026,Item A862,2526.73
PA-0863,24/03/2026,Item A863,8191.27
PA-0864,25/03/2026,Item A864,5674.38
PA-0865,26/03/2026,Item A865,1664.63
PA-0866,27/03/2026,Item A866,6891.89
PA-0867,28/03/2026,Item A867,1862.27
PA-0868,01/03/2026,Item A868,364.8
PA-0869,02/03/2026,Item A869,2675.61
PA-0870,03/03/2026,Item A870,1972.69
PA-0871,04/03/2026,Item A871,2354.63
PA-0872,05/03/2026,Item A872,3521.16
PA-0873,06/03/2026,Item A873,1246.92
PA-0874,07/03/2026,Item A874,132.48
PA-0875,08/03/2026,Item A875,2473.39
PA-0876,09/03/2026,Item A876,5005.12
PA-0877,10/03/2026,Item A877,7870.86
PA-0878,11/03/2026,Item A878,247.09
PA-0879,12/03/2026,Item A879,1221.36
PA-0880,13/03/2026,Item A880,1081.21
PA-0881,14/03/2026,Item A881,1094.52
PA-0882,15/03/2026,Item A882,4750.88
PA-0883,16/03/2026,Item A883,2439.76
PA-0884,17/03/2026,Item A884,3849.32
PA-0885,18/03/2026,Item A885,1849.64
PA-0886,19/03/2026,Item A886,2253.74
PA-0887,20/03/2026,Item A887,8719.54
PA-0888,21/03/2026,Item A888,4378.82
PA-0889,22/03/2026,Item A889,3311.91
PA-0890,23/03/2026,Item A890,1190.39
PA-0891,24/03/2026,Item A891,581.16
PA-0892,25/03/2026,Item A892,1858.4
PA-0893,26/03/2026,Item A893,1381
PA-0894,27/03/2026,Item A894,867.86
PA-0895,28/03/2026,Item A895,4135.02
PA-0896,01/03/2026,Item A896,1438.83
PA-0897,02/03/2026,Item A897,8484.85
PA-0898,03/03/2026,Item A898,1044.93
PA-0899,04/03/2026,Item A899,5506.69
PA-0900,05/03/2026,Item A900,671.82
PA-0901,06/03/2026,Item A901,2690.39
PA-0902,07/03/2026,Item A902,2249.46
PA-0903,08/03/2026,Item A903,2733.04
PA-0904,09/03/2026,Item A904,2964.56
PA-0905,10/03/2026,Item A905,435.56
PA-0906,11/03/2026,Item A906,5927.75
PA-0907,12/03/2026,Item A907,5773.74
PA-0908,13/03/2026,Item A908,2014.59
PA-0909,14/03/2026,Item A909,2862.94
PA-0910,15/03/2026,Item A910,7955.94
PA-0911,16/03/2026,Item A911,5022.54
PA-0912,17/03/2026,Item A912,1331.17
PA-0913,18/03/2026,Item A913,3704.5
PA-0914,19/03/2026,Item A914,414.1
PA-0915,20/03/2026,Item A915,5791.82
PA-0916,21/03/2026,Item A916,774.32
PA-0917,22/03/2026,Item A917,7643.23
PA-0918,23/03/2026,Item A918,8981.85
PA-0919,24/03/2026,Item A919,2755.31
PA-0920,25/03/2026,Item A920,6718.54
PA-0921,26/03/2026,Item A921,778.21
PA-0922,27/03/2026,Item A922,7127.54
PA-0923,28/03/2026,Item A923,7765.03
PA-0924,01/03/2026,Item A924,876.63
PA-0925,02/03/2026,Item A925,4781.31
PA-0926,03/03/2026,Item A926,767.95
PA-0927,04/03/2026,Item A927,4416.93
PA-0928,05/03/2026,Item A928,7352.07
PA-0929,06/03/2026,Item A929,1899.6
PA-0930,07/03/2026,Item A930,273.28
PA-0931,08/03/2026,Item A931,6861.13
PA-0932,09/03/2026,Item A932,8190.28
PA-0933,10/03/2026,Item A933,8184.99
PA-0934,11/03/2026,Item A934,2808.13
PA-0935,12/03/2026,Item A935,1543.72
PA-0936,13/03/2026,Item A936,1989.37
PA-0937,14/03/2026,Item A937,1815.96
PA-0938,15/03/2026,Item A938,1759.19
PA-0939,16/03/2026,Item A939,868.69
PA-0940,17/03/2026,Item A940,7112.11
PA-0941,18/03/2026,Item A941,4340.08
PA-0942,19/03/2026,Item A942,1699.17
PA-0943,20/03/2026,Item A943,6429.89
PA-0944,21/03/2026,Item A944,3259.43
PA-0945,22/03/2026,Item A945,8692.26
PA-0946,23/03/2026,Item A946,1271.56
PA-0947,24/03/2026,Item A947,8664.48
PA-0948,25/03/2026,Item A948,5122.54
PA-0949,26/03/2026,Item A949,8126.39
PA-0950,27/03/2026,Item A950,2465.31
PA-0951,28/03/2026,Item A951,3171.14
PA-0952,01/03/2026,Item A952,7444.62
PA-0953,02/03/2026,Item A953,1788.84
PA-0954,03/03/2026,Item A954,7739.83
PA-0955,04/03/2026,Item A955,6924.29
PA-0956,05/03/2026,Item A956,2527.26
PA-0957,06/03/2026,Item A957,3252.57
PA-0958,07/03/2026,Item A958,6721.27
PA-0959,08/03/2026,Item A959,4713.53
PA-0960,09/03/2026,Item A960,634.69
PA-0961,10/03/2026,Item A961,8691.32
PA-0962,11/03/2026,Item A962,6938.79
PA-0963,12/03/2026,Item A963,332.14
PA-0964,13/03/2026,Item A964,1185.09
PA-0965,14/03/2026,Item A965,5095.51
PA-0966,15/03/2026,Item A966,523.68
PA-0967,16/03/2026,Item A967,625.03
PA-0968,17/03/2026,Item A968,3939.61
PA-0969,18/03/2026,Item A969,481.91
PA-0970,19/03/2026,Item A970,2496.31
PA-0971,20/03/2026,Item A971,5169.92
PA-0972,21/03/2026,Item A972,7119
PA-0973,22/03/2026,Item A973,4023.76
PA-0974,23/03/2026,Item A974,5344.6
PA-0975,24/03/2026,Item A975,2448.25
PA-0976,25/03/2026,Item A976,5320.8
PA-0977,26/03/2026,Item A977,2723.58
PA-0978,27/03/2026,Item A978,3872
PA-0979,28/03/2026,Item A979,4365.82
PA-0980,01/03/2026,Item A980,4779.15
PA-0981,02/03/2026,Item A981,2404.21
PA-0982,03/03/2026,Item A982,2010.21
PA-0983,04/03/2026,Item A983,4502.24
PA-0984,05/03/2026,Item A984,8905.22
PA-0985,06/03/2026,Item A985,5544.97
PA-0986,07/03/2026,Item A986,2516.96
PA-0987,08/03/2026,Item A987,5239.5
PA-0988,09/03/2026,Item A988,5317.26
PA-0989,10/03/2026,Item A989,1509.73
PA-0990,11/03/2026,Item A990,423.41
PA-0991,12/03/2026,Item A991,6565.75
PA-0992,13/03/2026,Item A992,1809.55
PA-0993,14/03/2026,Item A993,2598.23
PA-0994,15/03/2026,Item A994,4933.13
PA-0995,16/03/2026,Item A995,592.13
PA-0996,17/03/2026,Item A996,8463.58
PA-0997,18/03/2026,Item A997,2006.67
PA-0998,19/03/2026,Item A998,3288.39
PA-0999,20/03/2026,Item A999,5456.63
